"","Segment","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll"
"121",1,77540,0,1000,1,0,0,7683
"122",2,205126,0,126630,45,2250,10,7668
"123",3,81974,0,37266,18,1050,3,7661
"124",3,47258,0,24768,19,0,0,7659
"125",3,77699,0,42775,13,0,0,7654
"126",3,133954,500,37670,18,1500,3,7654
"127",2,602064,0,194753,26,2250,10,7652
"128",2,213150,0,56308,41,5200,14,7645
"129",4,48333,0,10123,14,0,0,6737
"130",3,142175,0,37461,22,0,0,6732
"131",1,17469,0,0,0,0,0,6730
"132",1,19823,0,1095,3,335,1,6730
"133",4,145074,0,8000,4,0,0,6746
"134",4,101101,0,10850,11,1850,6,6725
"135",4,125948,0,15155,15,0,0,6761
"136",3,259484,1776,19172,26,7172,23,6723
"137",3,129298,0,29099,15,0,0,6722
"138",2,103302,0,53552,22,700,3,6718
"139",4,160447,0,8578,25,0,0,6716
"140",1,15472,0,3500,14,0,0,6715
"141",1,39628,0,0,0,0,0,6711
"142",1,6112,0,0,0,0,0,6709
"143",1,31769,0,450,2,450,2,6707
"144",3,126787,0,35021,17,0,0,6701
"145",4,41547,0,16857,17,0,0,6697
"146",1,100640,0,7600,8,1600,5,6708
"147",1,18707,0,100,1,0,0,6693
"148",2,50593,0,58208,17,1500,2,6689
"149",3,84631,0,20415,17,0,0,6736
"150",1,24868,0,205,5,0,0,6689
"151",2,77097,0,42403,22,1718,4,6683
"152",2,930410,0,211284,18,2250,6,7640
"153",2,298121,0,60808,20,500,1,7640
"154",1,87474,0,4581,15,0,0,7634
"155",3,48707,0,37655,14,0,0,7631
"156",2,220081,0,52574,21,500,1,7626
"157",3,212976,0,19926,12,0,0,7624
"158",4,44182,0,12313,12,0,0,7619
"159",2,228829,0,59852,21,0,0,7612
"160",1,46823,0,5860,12,0,0,7613
"161",4,69110,0,18500,19,0,0,7598
"162",2,120700,0,55323,17,1500,1,7598
"163",3,152945,0,18604,6,3604,2,7598
"164",3,10302,0,30298,19,0,0,7591
"165",4,80331,0,15489,18,0,0,7634
"166",1,69882,0,180,6,0,0,7582
"167",1,95658,0,5269,18,0,0,7584
"168",2,402874,0,74800,15,0,0,7582
"169",2,370941,0,44615,16,0,0,7577
"170",2,21694,0,45230,20,700,2,7575
"171",2,71767,0,67335,13,0,0,7570
"172",1,35820,0,0,0,0,0,7575
"173",3,352508,0,23740,6,1000,2,7563
"174",4,149285,0,15656,13,3250,6,7561
"175",3,120941,0,42301,21,0,0,7588
"176",2,451673,0,43533,19,900,4,7575
"177",4,106961,0,7357,19,200,2,7572
"178",4,28086,1745,7368,12,0,0,7549
"179",1,60230,0,500,1,0,0,7544
"180",1,6663,0,1125,7,750,4,7575
"181",4,48145,0,10735,27,0,0,7540
"182",4,127807,0,17086,16,1500,3,7537
"183",1,32948,0,50,1,50,1,7569
"184",4,8933,0,8860,14,0,0,7533
"185",3,49885,0,23640,17,0,0,7533
"186",4,89999,0,11694,13,0,0,7530
"187",2,707079,0,57173,40,3450,12,7523
"188",1,211595,0,3250,8,0,0,7521
"189",2,410795,0,73679,31,0,0,7514
"190",1,72173,0,2954,13,232,1,7509
"191",2,123516,0,240544,31,500,2,7507
"192",2,143080,733,44373,38,3928,17,7575
"193",2,386061,0,107813,24,0,0,7500
"194",1,52738,2398,0,0,0,0,7498
"195",1,24523,0,100,1,0,0,7493
"196",1,134601,0,0,0,0,0,7493
"197",2,32742,0,61857,26,0,0,7488
"198",3,108341,0,19670,21,0,0,7488
"199",4,8669,0,11397,16,0,0,7486
"200",3,118940,0,36001,17,150,1,7484
"201",3,41385,0,26948,14,0,0,7481
"202",4,28621,0,13878,20,1400,10,7479
"203",1,16230,0,486,2,0,0,7477
"204",2,152881,0,79687,18,500,1,7474
"205",1,37348,0,0,0,0,0,7472
"206",1,51468,0,2278,9,0,0,7460
"207",2,95989,0,92159,30,1329,4,7518
"208",1,23184,1250,3694,12,1150,3,7467
"209",4,27381,0,18009,18,0,0,7524
"210",1,6854,0,0,0,0,0,7467
"211",2,201346,0,99612,34,600,4,7463
"212",1,31588,0,2947,8,0,0,7463
"213",1,204582,0,4671,14,0,0,7498
"214",3,8298,0,20087,15,0,0,7498
"215",1,10097,0,2700,1,2700,1,7498
"216",3,114356,0,27308,14,0,0,7456
"217",1,1344,0,1134,9,0,0,7498
"218",1,59797,0,7069,4,0,0,7444
"219",3,189053,0,24156,22,0,0,7439
"220",2,143481,0,45891,15,0,0,7437
"221",2,1302051,2706,90653,32,3050,7,7467
"222",2,229744,0,68754,35,550,2,7467
"223",1,75039,0,2750,10,250,1,7435
"224",1,20203,0,750,6,0,0,7467
"225",4,193976,0,10849,14,0,0,7416
"226",1,98224,0,5570,11,0,0,7467
"227",1,117329,0,6448,11,0,0,7416
"228",3,119239,0,36362,15,250,1,7467
"229",4,53715,0,7164,15,300,2,7416
"230",2,153747,0,58689,15,0,0,7409
"231",3,133309,0,23987,13,0,0,7415
"232",2,81380,0,56524,22,0,0,7404
"233",1,22074,0,6039,15,0,0,7404
"234",4,24051,0,8764,13,0,0,7395
"235",4,11449,0,9057,13,0,0,7397
"236",3,182317,0,19489,17,273,1,7397
"237",1,46184,0,3125,12,500,1,7388
"238",4,285116,0,8471,18,500,1,7406
"239",2,30962,0,97683,37,6400,18,7360
"240",1,15525,0,3853,6,0,0,7406
"241",2,163530,0,88987,25,0,0,7406
"242",1,2075,0,5002,14,0,0,7374
"243",3,227881,0,41186,13,0,0,7369
"244",2,118934,0,66222,37,2250,17,7354
"245",2,468175,0,141615,22,0,0,7348
"246",2,12526,0,56076,19,3850,11,7375
"247",1,176090,0,5300,9,2200,6,7344
"248",1,15221,0,4425,9,0,0,7361
"249",2,92875,0,60990,14,0,0,7344
"250",4,88702,0,9620,13,50,1,7406
"251",1,62882,0,1925,8,0,0,7375
"252",1,30015,0,5875,32,0,0,7341
"253",3,87293,0,21584,17,1050,2,7406
"254",4,45225,0,14711,15,0,0,7339
"255",4,96098,0,12500,4,0,0,7339
"256",2,236274,0,61515,12,0,0,7375
"257",1,423540,0,8534,14,2100,9,7375
"258",4,25279,0,14938,26,0,0,7327
"259",1,198137,0,6303,6,500,1,7323
"260",2,402312,0,77122,18,250,3,7375
"261",1,149733,0,605,3,500,1,7323
"262",1,70730,0,1319,12,0,0,7316
"263",4,164613,0,11095,13,0,0,7375
"264",4,47557,0,10267,18,200,3,7345
"265",1,35065,0,5400,5,1400,3,7311
"266",3,105769,0,23097,16,0,0,7345
"267",1,35900,0,0,0,0,0,7304
"268",1,43088,0,4000,1,0,0,7345
"269",2,58703,0,46473,34,950,4,7296
"270",2,70354,0,120907,22,0,0,7290
"271",3,145726,0,19019,15,0,0,7292
"272",2,121639,0,67286,7,0,0,7288
"273",2,70676,0,74993,15,0,0,7288
"274",1,18263,0,2100,4,1000,2,7285
"275",1,51250,0,0,0,0,0,7283
"276",3,1704838,0,17108,32,4823,23,7283
"277",1,12895,0,0,0,0,0,7277
"278",4,120073,0,12423,29,0,0,7276
"279",1,2003,0,980,2,0,0,7274
"280",2,22652,0,57642,14,0,0,7271
"281",1,168515,0,4600,4,0,0,7269
"282",3,44873,0,38740,18,850,2,7267
"283",4,190542,1745,8487,9,0,0,7267
"284",1,156230,0,5300,8,1300,5,7260
"285",3,79211,0,36776,14,0,0,7260
"286",2,98006,0,46349,20,2309,3,7332
"287",2,33982,0,68320,17,0,0,7255
"288",4,62998,0,11326,24,0,0,7253
"289",2,137908,0,57713,19,0,0,7250
"290",3,45586,0,37459,15,0,0,7246
"291",2,568174,0,67121,16,1000,2,7243
"292",2,145993,0,95082,17,500,1,7229
"293",2,294881,0,84800,20,0,0,7279
"294",1,12195,0,3875,17,0,0,7229
"295",1,16622,0,0,0,0,0,7229
"296",3,141813,0,39743,14,0,0,7254
"297",3,58139,500,38408,16,150,1,7227
"298",3,238868,0,20521,16,0,0,7220
"299",2,149286,0,42141,30,2400,13,7222
"300",1,35945,0,0,0,0,0,7220
"301",1,28218,0,750,4,750,4,7232
"302",1,7061,0,7100,12,0,0,7218
"303",2,217846,0,49198,20,0,0,7215
"304",3,364387,0,28200,27,0,0,7213
"305",4,125465,0,14750,9,0,0,7206
"306",2,94222,0,52081,24,0,0,7201
"307",4,123370,0,7478,16,0,0,7197
"308",1,383030,2998,8001,25,3226,15,7326
"309",4,112969,0,7572,7,0,0,7192
"310",1,46430,0,2100,4,500,1,7194
"311",3,179433,0,30476,15,0,0,7187
"312",3,20746,0,37534,17,0,0,7185
"313",3,61455,0,28765,17,0,0,7183
"314",2,714717,0,119162,20,1750,4,7183
"315",4,179559,0,17819,12,1000,2,7173
"316",4,119977,2556,9275,16,1400,4,7226
"317",1,16928,0,1000,1,0,0,7173
"318",1,65316,0,3917,10,0,0,7254
"319",4,766419,0,11398,3,398,1,7162
"320",1,52060,0,6500,3,0,0,7162
"321",4,84700,0,13544,17,0,0,7162
"322",3,205523,0,32404,20,1000,2,7159
"323",2,20457,0,51399,16,0,0,7193
"324",3,278727,0,21666,19,9166,16,7155
"325",4,50325,0,11930,14,0,0,7155
"326",1,455228,0,258,2,258,2,7141
"327",4,73849,0,11793,21,0,0,7250
"328",2,388455,0,114329,26,6078,8,7164
"329",2,138999,0,63738,29,600,4,7153
"330",1,65573,0,3875,23,0,0,7130
"331",2,172288,0,66879,10,0,0,7130
"332",1,47958,0,0,0,0,0,7130
"333",4,133002,0,15672,21,150,1,7117
"334",1,42363,0,0,0,0,0,7120
"335",2,133370,0,44299,18,0,0,7101
"336",2,278457,6727,57313,27,1000,2,7101
"337",3,105166,1374,37663,22,0,0,7120
"338",1,34956,0,0,0,0,0,7172
"339",1,46963,0,1500,5,0,0,7117
"340",3,55788,0,24831,12,0,0,7314
"341",2,174910,0,63960,20,200,1,7110
"342",4,13812,0,15149,39,0,0,7110
"343",1,38718,0,0,0,0,0,7314
"344",3,112501,0,19140,11,0,0,7101
"345",1,54005,0,1500,5,0,0,7099
"346",3,66863,0,36532,9,0,0,7099
"347",4,93045,0,17636,15,0,0,7092
"348",2,197328,0,60447,12,0,0,7092
"349",3,151301,0,37772,14,0,0,7092
"350",4,87938,0,11268,2,0,0,7085
"351",1,15283,0,1250,3,0,0,7132
"352",3,105423,0,20802,14,0,0,7078
"353",1,312512,0,100,1,100,1,7078
"354",1,13680,0,0,0,0,0,7073
"355",4,41279,0,14462,20,1650,6,7064
"356",4,25313,0,7491,13,0,0,7064
"357",1,148691,0,3000,3,1000,2,7064
"358",3,224081,0,40108,15,150,2,7059
"359",1,51088,0,0,0,0,0,7057
"360",1,95305,0,3189,13,0,0,7054
"361",4,22080,0,12200,47,1950,9,7050
"362",1,11660,0,140,1,0,0,7050
"363",3,222227,0,38127,14,500,1,7047
"364",1,16200,0,160,1,0,0,7043
"365",4,38227,0,8612,13,0,0,7036
"366",1,80214,0,500,1,500,1,7029
"367",1,53985,0,1000,1,0,0,7029
"368",1,14414,0,0,0,0,0,7024
"369",1,44457,0,225,3,0,0,7026
"370",2,161813,0,126941,20,0,0,7026
"371",1,138020,0,6568,15,0,0,7024
"372",3,107707,0,19407,25,2211,12,7024
"373",2,95656,0,62666,27,0,0,7019
"374",1,149678,0,0,0,0,0,7022
"375",4,15113,0,10574,19,0,0,7017
"376",3,231,0,29900,24,5300,15,7015
"377",1,22380,0,300,2,200,1,7010
"378",3,146263,0,20853,21,350,1,7001
"379",1,24598,0,0,0,0,0,7040
"380",3,76150,0,36907,17,0,0,6998
"381",2,377252,0,230629,30,6393,13,6996
"382",4,167670,0,15907,13,0,0,6994
"383",3,86853,0,42293,21,500,1,6980
"384",2,479989,0,66516,26,1600,6,6980
"385",2,28193,0,103456,32,0,0,6980
"386",4,67086,0,18157,16,0,0,6974
"387",4,35969,0,11665,21,0,0,6977
"388",3,53790,0,28717,19,0,0,8296
"389",4,198859,0,17855,14,500,1,8296
"390",1,91939,0,1244,8,0,0,8296
"391",4,88449,0,11402,18,1450,5,8296
"392",3,54842,0,20792,15,0,0,8296
"393",4,11189,0,9044,20,0,0,8296
"394",1,16999,0,140,1,0,0,8296
"395",1,114713,0,7142,18,0,0,8296
"396",1,1612,0,955,9,0,0,8296
"397",1,97763,0,2000,9,0,0,8296
"398",1,15129,0,0,0,0,0,8296
"399",1,15669,0,1205,4,0,0,8296
"400",1,26720,0,913,3,0,0,8296
"401",1,205292,0,5471,13,0,0,8296
"402",1,56635,0,1024,8,359,2,8296
"403",4,127297,0,8510,12,0,0,8296
"404",1,8927,0,0,0,0,0,8296
"405",2,507506,1952,102279,32,4485,13,8296
"406",2,145723,0,59858,16,0,0,8296
"407",1,6458,0,0,0,0,0,8296
"408",1,267640,0,6000,3,0,0,8296
"409",1,5581,0,0,0,0,0,8296
"410",1,10732,0,1296,6,0,0,8296
"411",3,620498,0,25395,53,1750,14,8296
"412",3,68963,0,37723,15,0,0,8296
"413",2,109640,0,66983,38,5500,17,8296
"414",2,225802,0,74340,16,200,2,8296
"415",1,58452,0,0,0,0,0,8296
"416",4,109087,0,10462,16,0,0,8296
"417",3,68286,0,22831,13,0,0,8296
"418",1,68464,0,240,3,0,0,8296
"419",4,131960,2000,16081,8,0,0,8296
"420",1,199956,1178,0,0,0,0,8296
"421",3,529886,7210,23866,26,7741,15,8296
"422",1,23529,0,500,1,0,0,8296
"423",1,190295,0,3501,15,0,0,8296
"424",2,21083,0,129330,16,1000,2,8296
"425",2,117860,0,62758,15,0,0,8296
"426",3,118844,0,28731,17,400,2,8289
"427",4,60493,0,9000,1,0,0,8289
"428",2,491987,0,68007,23,700,2,8289
"429",1,87692,0,2310,6,500,1,8289
"430",3,78028,0,36269,24,0,0,8289
"431",1,251286,0,0,0,0,0,8289
"432",1,17575,0,0,0,0,0,8289
"433",1,50431,0,1000,1,0,0,8289
"434",2,153597,0,56567,18,0,0,8289
"435",1,74579,0,4600,11,600,8,8289
"436",1,2494,0,0,0,0,0,8289
"437",2,96031,0,46588,21,0,0,8289
"438",2,353678,0,141230,28,1450,5,8289
"439",2,50052,0,49383,13,0,0,8289
"440",1,13381,0,1000,8,0,0,8289
"441",1,25123,0,2030,6,0,0,8289
"442",3,132555,0,24775,31,350,1,8289
"443",1,14528,0,6000,7,3000,6,8289
"444",1,24038,0,6290,14,0,0,8289
"445",3,192104,0,39010,53,1750,8,8289
"446",4,106773,0,12900,10,1400,8,8289
"447",3,229397,0,22873,13,0,0,8289
"448",1,14732,0,100,1,0,0,8289
"449",3,383129,0,23608,16,500,1,8289
"450",1,11431,0,1759,4,759,3,8289
"451",3,175461,0,40997,14,0,0,8289
"452",1,52953,0,500,1,0,0,8289
"453",3,182291,0,24155,22,0,0,8289
"454",2,198317,0,61714,16,0,0,8289
"455",1,49053,0,6498,18,950,5,8289
"456",1,22772,0,0,0,0,0,8289
"457",4,34170,0,15476,20,150,1,8289
"458",4,158483,0,9018,11,0,0,8289
"459",3,43285,0,28613,14,0,0,8252
"460",4,52980,0,17078,14,0,0,8237
"461",1,74342,0,4389,12,0,0,8228
"462",3,139849,0,19946,15,0,0,8228
"463",4,26080,0,9872,13,0,0,8228
"464",1,29469,0,2522,4,0,0,8228
"465",1,189252,0,2991,15,0,0,8228
"466",2,382546,0,136619,34,3000,6,8228
"467",2,1113394,2015,60883,26,2600,9,8228
"468",2,459681,0,95531,17,0,0,8228
"469",1,83590,0,3708,22,0,0,8228
"470",1,82528,0,2100,5,600,4,8228
"471",1,5600,0,125,1,0,0,8228
"472",1,743745,2066,4100,20,2500,18,8228
"473",2,43954,0,63463,13,250,1,8228
"474",4,52005,0,11870,15,100,1,8228
"475",1,45494,0,5021,16,600,2,8228
"476",3,171509,0,40090,55,6381,23,8151
"477",1,235947,0,3982,16,0,0,8145
"478",3,153108,0,25802,14,500,1,8137
"479",3,260261,0,33047,21,0,0,8146
"480",3,80223,0,21248,26,2050,7,8121
"481",4,38716,0,8253,21,0,0,8114
"482",3,1125076,0,23046,14,0,0,8107
"483",1,10954,500,2500,1,0,0,8095
"484",1,97099,0,6325,21,1700,5,8085
"485",1,62396,2128,1250,3,0,0,8075
"486",4,40645,0,18348,13,0,0,8067
"487",2,82655,0,101101,19,700,2,8057
"488",1,84035,0,4240,6,1600,4,8114
"489",1,1199220,2919,3800,19,3300,18,8023
"490",4,86345,0,13415,16,350,2,8009
"491",1,2701,0,5000,10,0,0,8002
"492",4,46874,0,9689,38,500,1,7990
"493",2,10879,0,78186,32,3400,12,7981
"494",1,12742,0,0,0,0,0,7966
"495",3,122904,0,37380,21,1300,4,7956
"496",1,10994,0,1250,3,0,0,8007
"497",4,2318,0,8747,14,0,0,7945
"498",1,11070,0,0,0,0,0,7939
"499",1,21921,0,0,0,0,0,7939
"500",2,162521,0,57354,25,0,0,8105
"501",1,207545,0,11137,34,4387,12,8105
"502",3,86112,0,35528,22,0,0,8105
"503",1,18328,0,0,0,0,0,6790
"504",2,217557,0,97584,19,550,2,6679
"505",1,11504,0,100,1,0,0,6675
"506",2,143200,0,79837,28,50,1,6667
"507",3,160703,0,32560,12,0,0,6666
"508",1,910,0,5172,13,0,0,6662
"509",1,94105,0,100,1,0,0,6676
"510",1,18422,0,3297,13,0,0,6653
"511",2,889456,1024,98959,29,850,4,6652
"512",1,9800,589,10348,34,3000,25,6651
"513",2,148318,0,51197,22,350,2,6648
"514",1,26149,0,5190,6,0,0,6646
"515",3,76933,0,28075,17,0,0,6646
"516",2,346178,0,63803,16,0,0,6645
"517",4,22878,0,9039,32,0,0,6641
"518",2,66741,2880,71921,30,2600,7,6638
"519",2,134060,0,46606,13,0,0,6637
"520",3,3305,0,31465,24,1700,10,6633
"521",4,28930,0,8185,17,0,0,6630
"522",1,208519,0,4040,6,450,2,6627
"523",2,58951,0,47994,15,500,1,6625
"524",1,25395,0,2000,1,0,0,6624
"525",1,109248,0,6828,11,0,0,6618
"526",1,43387,0,4942,13,0,0,6613
"527",3,52423,0,26926,13,0,0,6611
"528",3,26858,500,34308,17,900,3,6606
"529",2,5410,0,45890,22,0,0,6603
"530",4,18177,0,12040,12,0,0,6690
"531",1,413509,0,2500,1,0,0,6598
"532",2,98472,1776,124421,45,10250,28,6621
"533",2,86520,3445,64450,20,1000,2,6592
"534",1,16648,0,625,4,0,0,6588
"535",2,267404,0,263685,51,3000,6,6584
"536",3,31478,0,18885,18,0,0,6578
"537",1,17445,0,4500,3,500,1,6576
"538",2,49052,0,46718,17,0,0,6575
"539",1,21689,0,0,0,0,0,6570
"540",1,18302,0,2197,10,0,0,6569
"541",1,26220,0,2775,11,0,0,6647
"542",4,59552,0,7551,22,0,0,6473
"543",1,34962,0,252,3,0,0,6208
"544",1,16153,0,180,1,0,0,6491
"545",1,28931,0,6500,4,500,1,6354
"546",3,202636,0,19000,5,0,0,6119
"547",2,153962,0,90992,21,0,0,6567
"548",3,63311,0,25048,14,0,0,6634
"549",1,8561,0,2050,8,1300,2,6675
"550",3,256219,0,29823,33,6568,16,6561
"551",3,122700,0,18604,13,0,0,6556
"552",4,81419,0,7769,12,350,1,6599
"553",1,13873,0,4833,20,0,0,6519
"554",1,148,0,190,2,0,0,6507
"555",3,178919,0,23387,17,0,0,6555
"556",1,19702,0,3000,1,0,0,6554
"557",1,18820,0,0,0,0,0,6549
"558",1,213849,0,500,1,0,0,6549
"559",1,28077,0,735,6,500,1,6575
"560",1,4528,0,290,1,0,0,6565
"561",4,40418,0,12678,12,0,0,6541
"562",3,380930,0,22485,25,213,1,6539
"563",4,176849,0,7700,11,950,4,6539
"564",3,71235,0,41004,14,0,0,6535
"565",2,76446,0,63811,17,0,0,6550
"566",3,148915,0,23522,16,650,2,6532
"567",4,65034,0,14331,16,800,3,6541
"568",3,35738,0,41264,16,0,0,6526
"569",1,313,0,1600,1,0,0,6525
"570",1,55703,0,0,0,0,0,6520
"571",1,11613,0,2000,1,0,0,6519
"572",3,65672,0,29089,13,0,0,6529
"573",1,84785,0,4570,14,0,0,6514
"574",1,30592,862,2602,7,0,0,6512
"575",2,99293,0,81040,23,1000,2,6508
"576",1,51830,0,0,0,0,0,6507
"577",2,20126,0,78999,28,800,3,6506
"578",1,3294,0,1330,2,0,0,6498
"579",1,11143,0,2800,6,800,5,6529
"580",1,8250,0,250,2,0,0,6486
"581",2,117670,0,53043,19,550,1,6505
"582",4,49454,0,9548,22,250,1,6501
"583",1,58421,0,1000,1,0,0,6532
"584",1,33443,0,0,0,0,0,6476
"585",1,13886,0,0,0,0,0,6465
"586",1,15349,0,250,2,0,0,6457
"587",1,78712,0,0,0,0,0,6433
"588",3,89742,0,39073,13,0,0,6498
"589",1,31311,0,3961,10,0,0,6494
"590",1,133445,8264,3375,13,0,0,6492
"591",1,136161,0,6032,15,0,0,6463
"592",1,9998,0,0,0,0,0,6448
"593",3,37904,0,19052,17,0,0,6487
"594",3,41243,0,27971,7,300,1,6483
"595",3,54011,1604,38380,20,5780,4,6487
"596",1,5351,0,100,1,0,0,6450
"597",1,23334,0,0,0,0,0,6441
"598",1,11255,0,0,0,0,0,6428
"599",3,48127,0,41447,28,0,0,6421
"600",2,329497,0,57264,12,0,0,6484
"601",3,158895,0,41954,15,0,0,6525
"602",3,34540,0,27882,13,0,0,6494
"603",2,117623,0,86582,26,1000,6,6477
"604",3,126409,0,28460,13,0,0,6478
"605",4,112843,0,16137,14,0,0,6472
"606",1,117240,0,1200,3,700,2,6471
"607",3,7216,0,21419,18,0,0,6470
"608",1,26412,0,5086,2,0,0,6552
"609",3,427528,0,35098,16,1600,3,6465
"610",1,1846,0,450,1,0,0,6471
"611",3,45830,0,23404,10,0,0,6459
"612",3,179042,0,25078,50,3350,15,6456
"613",4,41487,500,10885,7,0,0,6451
"614",1,39601,0,3733,9,0,0,6450
"615",4,46142,0,14445,13,0,0,6452
"616",3,110277,0,37110,18,1500,3,6445
"617",4,122928,0,12211,14,0,0,6443
"618",4,146599,0,16463,16,1000,2,6444
"619",2,338656,0,52908,16,0,0,6444
"620",2,54125,0,48874,17,450,3,6463
"621",3,29861,0,28190,15,0,0,6407
"622",1,126148,0,6273,8,0,0,6435
"623",3,62080,2975,19113,32,10650,28,6434
"624",2,175131,0,53495,15,0,0,6431
"625",2,365918,0,83752,23,1373,7,6429
"626",3,105547,0,24973,26,500,1,6415
"627",4,67615,0,14168,13,0,0,6413
"628",3,33554,0,27410,16,350,1,6428
"629",1,163083,0,3825,9,450,4,6428
